"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1925","Nova Scotia","2016A000212","Value of natural honey and wax","Dollars","81","thousands","3","v47901","3.6","12","","","t","0"
"1925","New Brunswick","2016A000213","Beekeepers","Number","223","units ","0","v47852","4.1","350","","","","0"
"1925","New Brunswick","2016A000213","Colonies","Number","223","units ","0","v47862","4.2","2100","","","","0"
"1925","New Brunswick","2016A000213","Average yield per colony","Pounds","254","units ","0","v47872","4.3","23","","","t","0"
"1925","New Brunswick","2016A000213","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47882","4.4","48","","","","0"
"1925","New Brunswick","2016A000213","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47892","4.5","8","","","","0"
"1925","New Brunswick","2016A000213","Value of natural honey and wax","Dollars","81","thousands","3","v47902","4.6","9","","","t","0"
"1925","Quebec","2016A000224","Beekeepers","Number","223","units ","0","v47853","5.1","7730","","","","0"
"1925","Quebec","2016A000224","Colonies","Number","223","units ","0","v47863","5.2","100160","","","","0"
"1925","Quebec","2016A000224","Average yield per colony","Pounds","254","units ","0","v47873","5.3","42","","","t","0"
"1925","Quebec","2016A000224","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47883","5.4","4191","","","","0"
"1925","Quebec","2016A000224","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47893","5.5","617","","","","0"
"1925","Quebec","2016A000224","Value of natural honey and wax","Dollars","81","thousands","3","v47903","5.6","645","","","t","0"
"1925","Ontario","2016A000235","Beekeepers","Number","223","units ","0","v47854","6.1","9800","","","","0"
"1925","Ontario","2016A000235","Colonies","Number","223","units ","0","v47864","6.2","167000","","","","0"
"1925","Ontario","2016A000235","Average yield per colony","Pounds","254","units ","0","v47874","6.3","76","","","t","0"
"1925","Ontario","2016A000235","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47884","6.4","12692","","","","0"
"1925","Ontario","2016A000235","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47894","6.5","1270","","","","0"
"1925","Ontario","2016A000235","Value of natural honey and wax","Dollars","81","thousands","3","v47904","6.6","1329","","","t","0"
"1925","Manitoba","2016A000246","Beekeepers","Number","223","units ","0","v47855","7.1","1400","","","","0"
"1925","Manitoba","2016A000246","Colonies","Number","223","units ","0","v47865","7.2","19160","","","","0"
"1925","Manitoba","2016A000246","Average yield per colony","Pounds","254","units ","0","v47875","7.3","107","","","t","0"
"1925","Manitoba","2016A000246","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47885","7.4","2054","","","","0"
"1925","Manitoba","2016A000246","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47895","7.5","308","","","","0"
"1925","Manitoba","2016A000246","Value of natural honey and wax","Dollars","81","thousands","3","v47905","7.6","323","","","t","0"
"1925","Saskatchewan","2016A000247","Beekeepers","Number","223","units ","0","v47856","8.1","540","","","","0"
"1925","Saskatchewan","2016A000247","Colonies","Number","223","units ","0","v47866","8.2","2090","","","","0"
"1925","Saskatchewan","2016A000247","Average yield per colony","Pounds","254","units ","0","v47876","8.3","78","","","t","0"
"1925","Saskatchewan","2016A000247","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47886","8.4","162","","","","0"
"1925","Saskatchewan","2016A000247","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47896","8.5","37","","","","0"
"1925","Saskatchewan","2016A000247","Value of natural honey and wax","Dollars","81","thousands","3","v47906","8.6","38","","","t","0"
"1925","Alberta","2016A000248","Beekeepers","Number","223","units ","0","v47857","9.1","140","","","","0"
"1925","Alberta","2016A000248","Colonies","Number","223","units ","0","v47867","9.2","2040","","","","0"
"1925","Alberta","2016A000248","Average yield per colony","Pounds","254","units ","0","v47877","9.3","56","","","t","0"
"1925","Alberta","2016A000248","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47887","9.4","115","","","","0"
"1925","Alberta","2016A000248","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47897","9.5","23","","","","0"
"1925","Alberta","2016A000248","Value of natural honey and wax","Dollars","81","thousands","3","v47907","9.6","24","","","t","0"
"1925","British Columbia","2016A000259","Beekeepers","Number","223","units ","0","v47858","10.1","2430","","","","0"
"1925","British Columbia","2016A000259","Colonies","Number","223","units ","0","v47868","10.2","15500","","","","0"
"1925","British Columbia","2016A000259","Average yield per colony","Pounds","254","units ","0","v47878","10.3","41","","","t","0"
"1925","British Columbia","2016A000259","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47888","10.4","638","","","","0"
"1925","British Columbia","2016A000259","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47898","10.5","140","","","","0"
"1925","British Columbia","2016A000259","Value of natural honey and wax","Dollars","81","thousands","3","v47908","10.6","147","","","t","0"
"1926","Canada","2016A000011124","Beekeepers","Number","223","units ","0","v47849","1.1","22325","","","","0"
"1926","Canada","2016A000011124","Colonies","Number","223","units ","0","v47859","1.2","307490","","","","0"
"1926","Canada","2016A000011124","Average yield per colony","Pounds","254","units ","0","v47869","1.3","64","","","t","0"
"1926","Canada","2016A000011124","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47879","1.4","19526","","","","0"
"1926","Canada","2016A000011124","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47889","1.5","2407","","","","0"
"1926","Canada","2016A000011124","Value of natural honey and wax","Dollars","81","thousands","3","v47899","1.6","2520","","","t","0"
"1926","Prince Edward Island","2016A000211","Beekeepers","Number","223","units ","0","v47850","2.1","5","","","","0"
"1926","Prince Edward Island","2016A000211","Colonies","Number","223","units ","0","v47860","2.2","110","","","","0"
"1926","Prince Edward Island","2016A000211","Average yield per colony","Pounds","254","units ","0","v47870","2.3","23","","","t","0"
"1926","Prince Edward Island","2016A000211","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47880","2.4","3","","","","0"
"1926","Prince Edward Island","2016A000211","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47890","2.5","0","","","","0"
"1926","Prince Edward Island","2016A000211","Value of natural honey and wax","Dollars","81","thousands","3","v47900","2.6","0","","","t","0"
"1926","Nova Scotia","2016A000212","Beekeepers","Number","223","units ","0","v47851","3.1","220","","","","0"
"1926","Nova Scotia","2016A000212","Colonies","Number","223","units ","0","v47861","3.2","1350","","","","0"
"1926","Nova Scotia","2016A000212","Average yield per colony","Pounds","254","units ","0","v47871","3.3","39","","","t","0"
"1926","Nova Scotia","2016A000212","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47881","3.4","53","","","","0"
"1926","Nova Scotia","2016A000212","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47891","3.5","8","","","","0"
"1926","Nova Scotia","2016A000212","Value of natural honey and wax","Dollars","81","thousands","3","v47901","3.6","8","","","t","0"
"1926","New Brunswick","2016A000213","Beekeepers","Number","223","units ","0","v47852","4.1","370","","","","0"
"1926","New Brunswick","2016A000213","Colonies","Number","223","units ","0","v47862","4.2","2200","","","","0"
"1926","New Brunswick","2016A000213","Average yield per colony","Pounds","254","units ","0","v47872","4.3","23","","","t","0"
"1926","New Brunswick","2016A000213","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47882","4.4","51","","","","0"
"1926","New Brunswick","2016A000213","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47892","4.5","8","","","","0"
"1926","New Brunswick","2016A000213","Value of natural honey and wax","Dollars","81","thousands","3","v47902","4.6","9","","","t","0"
"1926","Quebec","2016A000224","Beekeepers","Number","223","units ","0","v47853","5.1","7780","","","","0"
"1926","Quebec","2016A000224","Colonies","Number","223","units ","0","v47863","5.2","96240","","","","0"
"1926","Quebec","2016A000224","Average yield per colony","Pounds","254","units ","0","v47873","5.3","40","","","t","0"
"1926","Quebec","2016A000224","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47883","5.4","3834","","","","0"
"1926","Quebec","2016A000224","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47893","5.5","600","","","","0"
"1926","Quebec","2016A000224","Value of natural honey and wax","Dollars","81","thousands","3","v47903","5.6","628","","","t","0"
"1926","Ontario","2016A000235","Beekeepers","Number","223","units ","0","v47854","6.1","8700","","","","0"
"1926","Ontario","2016A000235","Colonies","Number","223","units ","0","v47864","6.2","165000","","","","0"
"1926","Ontario","2016A000235","Average yield per colony","Pounds","254","units ","0","v47874","6.3","76","","","t","0"
"1926","Ontario","2016A000235","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47884","6.4","12540","","","","0"
"1926","Ontario","2016A000235","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47894","6.5","1254","","","","0"
"1926","Ontario","2016A000235","Value of natural honey and wax","Dollars","81","thousands","3","v47904","6.6","1313","","","t","0"
"1926","Manitoba","2016A000246","Beekeepers","Number","223","units ","0","v47855","7.1","1760","","","","0"
